Item_ID	Sentence	Pre	ParentString	WordAfterAll	ParentNode	GrammFunction	Objects	Head	RevisedPartitive	RevisedHead	BadNP	JFQ_Head	CndP_Head	Information_Head_3gram	Length_Head_3gram	FQ_Head	P_Head	NPNiteID	Partitive	CorrectedHead
1205:16	but i still get all of those calls	get	get all of those calls	of	VP	NP	NP-OBJ	calls				2	0.03125	14.21657386	1	64	5.34e-05	sw2015_s44_504	yes	calls
1566:61	"but we don't want --n403eec to miss any of those p t a --s and, you know, all of that."	know	"any of those p t a --s and, you know, all of that"	of	NP	NP	NP-OTHER	that				106	0.004737218	5.74425372	1	22376	0.018656337	sw2018_s145_508	yes	that
1680:23	"i, uh, listen to it all the time in, in my car,"	it	"listen to it all the time in, in my car"	the	VP	NP-TMP		time				146	0.077991453	9.324259938	1	1872	0.001560809	sw2020_s6_506	the	time
1773:51	"and, uh, she thinks it --n40283a's pretty funny how often i know all of the words to songs that she's listening to --n402889 --n402890,"	know	know all of the words to songs that she's listening to --n402889 --n402890	of	VP	NP	NP-OBJ	words				1	0.021276596	14.67029183	1	47	3.92e-05	sw2020_s65_516	yes	words
1946:123	"i mean, i like, you know, things like --n4068bf to hear, you know, what they call --n4068ea world music. which --n406901 is, you know, using all these natural forms of music"	using	using all these natural forms of music	these	VP	NP	NP-OBJ	forms				2	0.125	16.28696319	1	16	1.33e-05	sw2020_s175_546	the	forms
2067:41	"and i made a lotus spreadsheet and went through the year --n400249 using all of our, our checkbook --n40026c to figure out what we spent --n40028b each time and whether we were over or under for each month"	using	"using all of our, our checkbook --n40026c to figure out what we spent --n40028b each time and whether we were over or under for each month"	of	VP	NP	NP-OBJ	our		checkbook		1	0.000834725	9.968646345	1	1198	0.000998851	sw2022_s7_511	yes	checkbook
2127:55	"we've taken that this year, and said we're going --n40244e to pay off all of our credit cards"	off	pay off all of our credit cards	of	VP	NP	NP-OTHER	cards				6	0.070588235	13.80153636	1	85	7.09e-05	sw2022_s49_518	yes	cards
2265:43	"and i, i really enjoyed, you know, all the little things --n40084c that you find --n40085f out about texas."	know	"enjoyed, you know, all the little things --n40084c that you find --n40085f out about texas"	the	VP	NP	NP-OTHER	things				56	0.03196347	9.419890413	1	1752	0.001460757	sw2024_s13_513	the	things
2323:25	"and as you probably well know, all of us are our own customer."	know	"and as you probably well know, all of us are our own customer."	of	S	NP-SBJ	NP-OTHER	us				15	0.031446541	11.29903602	1	477	0.000397706	sw2024_s52_507	yes	us
2361:28	"um, our supervisor, uh, subtly bought all of us a book called what every supervisor should know --n403583. by a man, man named doctor bittel, b i t t e l"	bought	"bought all of us a book called what every supervisor should know --n403583. by a man, man named doctor bittel, b i t t e l"	of	VP	NP	NP-OBJ	us				15	0.031446541	11.29903602	1	477	0.000397706	sw2024_s74_506	yes	us
2409:20	"and, and all that kind of rolls in together there,"		"and, and all that kind of rolls in together there,"	that	S	NP-SBJ		that				106	0.004737218	5.74425372	1	22376	0.018656337	sw2024_s106_505	the	that
2472:33	and we have a lot of government folks come in all the time	in	come in all the time	the	VP	NP-TMP		time				146	0.077991453	9.324259938	1	1872	0.001560809	sw2027_s29_510	the	time
2520:16	"and it went up all the way to the head of facilities, complaining that we were wearing shorts."	up	up all the way to the head of facilities	the	PP	NP-ADV		way				40	0.036199095	10.08532932	1	1105	0.000921311	sw2027_s64_505	the	way
2626:75	"when i was looking at her materials --n405216 when she first started, you know, --n40523d she had her benefits package and all that kind of stuff."	and	her benefits package and all that kind of stuff	that	NP	NP	NP-OTHER	kind	hyper	stuff		36	0.016720855	9.122391419	1	2153	0.001795097	sw2027_s134_523	the	stuff
2913:78	"it's amazing to me because i have only lived in dallas for three years, and i can not believe that the wind blows all the time."	blows	blows all the time	the	VP	NP-TMP		time				146	0.077991453	9.324259938	1	1872	0.001560809	sw2028_s75_525	the	time
3146:40	"and, and, yeah, i take care of all the air modeling, specifically for the dallas area."	of	"of all the air modeling, specifically for the dallas area"	the	PP	NP	NP-OTHER	modeling				1	0.2	18.19385378	1	5	4.17e-06	sw2028_s214_510	the	modeling
3147:49	"what we do --n406935, we have a weather station, that we get all of this information, you know, temperature, wind speed, wind direction --n4069a0,"	get	"get all of this information, you know, temperature, wind speed, wind direction --n4069a0"	of	VP	NP	NP-OBJ	information				8	0.096385542	13.83630178	1	83	6.92e-05	sw2028_s215_516	yes	information
3287:75	"and what you do --n40223b is, you also try --n40225a to get up on stage and jump down on top of all these other people."	of	of all these other people	these	PP	NP	NP-OTHER	people				36	0.015880018	9.047921636	1	2267	0.001890146	sw2032_s85_527	the	people
3422:19	"and now you're singing all this stuff that, --n40493b doesn't matter what you, what you sing --n404966 or what you record --n40497d,"	singing	"singing all this stuff that, --n40493b doesn't matter what you, what you sing --n404966 or what you record --n40497d"	this	VP	NP	NP-OBJ	stuff				76	0.090692124	10.48476997	1	838	0.000698695	sw2032_s176_505	the	stuff
3547:98	"the, the eighties are called --n406ca2, like the progressive years, or the, or, you know, like the technology years, because of all the computers and stuff."	of	because of all the computers and stuff	the	PP-PRP	NP	NP-OTHER	computers				1	0.022222222	14.73442216	1	45	3.75e-05	sw2032_s257_526	the	computers
3664:70	"have you all been able --n40016d to do much as, uh, as a full family these days, all of you."	days	"do much as, uh, as a full family these days, all of you"	of	VP	NP-TPC	NP-OTHER	you				38	0.001699235	5.745092177	1	22363	0.018645498	sw2035_s5_520	yes	you
3667:70	"we've, uh, been, um, we've gone other, you know, all kinds of places,"	know	"gone other, you know, all kinds of places"		VP	NP-DIR	NP-OTHER	kinds	hyper	places		59	0.453846154	13.18262653	1	130	0.00010839	sw2035_s7_522	no	places
3702:18	"and, we just do all kinds of fun things like that"	do	do all kinds of fun things like that	kinds	VP	NP	NP-OBJ	kinds	hyper	things		59	0.453846154	13.18262653	1	130	0.00010839	sw2035_s30_504	no	things
3858:9	"and then all the, the, the rides are free."	then	"and then all the, the, the rides are free."		S	NP-SBJ		rides	the			2	0.25	17.38649886	1	8	6.67e-06	sw2035_s134_502	no	rides
3859:29	"you know, of course, they have all the little video games and, you know, those little quarter rides, you know, --n40481e to, and stuff like that"	have	"have all the little video games and, you know, those little quarter rides, you know, --n40481e to, and stuff like that"	the	VP	NP	NP-OBJ	games				5	0.086206897	14.36096377	1	58	4.84e-05	sw2035_s135_509	the	games
3978:48	"as a matter of fact, uh, turner broadcasting, has been uh, broadcasting all of the james bond movies, every night this week,"	broadcasting	"broadcasting all of the james bond movies, every night this week"	of	VP	NP	NP-OBJ	movies				11	0.070063694	12.90845156	1	157	0.000130901	sw2039_s45_512	yes	movies
4058:54	"the interior minister of, in england, with the permanent secretary, and bureaucracy and all that."	and	"the permanent secretary, and bureaucracy and all that"	that	NP	NP	NP-OTHER	that				106	0.004737218	5.74425372	1	22376	0.018656337	sw2039_s91_510	the	that
4095:37	"i read about two or three novels a week, in addition to all the technical stuff."	to	"about two or three novels a week, in addition to all the technical stuff"	the	NP	NP	NP-OTHER	stuff				76	0.090692124	10.48476997	1	838	0.000698695	sw2039_s114_503	the	stuff
4348:42	"i, i can't get out to dance all the time"	dance	dance all the time	the	VP	NP-TMP		time				146	0.077991453	9.324259938	1	1872	0.001560809	sw2041_s63_514	the	time
4488:30	"it says ever-, all sorts of factors go into health and there's no reason to talk about one rather than another --n405470, so that they, they combined them all together."	ever-	"ever-, all sorts of factors go into health"	sorts	S	NP-SBJ	NP-OTHER	sorts	hyper	factors		19	0.527777778	15.06457076	1	36	3e-05	sw2041_s156_511	no	factors
4729:48	"but, um, just as far as watching the news and reading the papers and all that, it sounds like the crimes in the cities are really getting bad."	and	watching the news and reading the papers and all that	that	VP	NP-ETC		that				106	0.004737218	5.74425372	1	22376	0.018656337	sw2051_s21_512	the	that
4737:30	"but they had mortars and machine guns, tanks and all that."	and	"mortars and machine guns, tanks and all that"	that	NP	NP	NP-OTHER	that				106	0.004737218	5.74425372	1	22376	0.018656337	sw2051_s26_503	the	that
4944:33	"you know, and they flipping me the finger and all that"	and	flipping me the finger and all that	that	VP	NP-ETC		that				106	0.004737218	5.74425372	1	22376	0.018656337	sw2051_s153_510	the	that
5081:26	i'm still trying --n400f54 to get all the d m c colors.	get	get all the d m c colors	the	VP	NP	NP-OBJ	colors				4	0.121212121	15.19385378	1	33	2.75e-05	sw2053_s36_509	the	colors
5128:13	i just love all the different colors.	love	love all the different colors	the	VP	NP	NP-OBJ	colors				4	0.121212121	15.19385378	1	33	2.75e-05	sw2053_s69_504	the	colors
5354:6	"and all this week they have been having this, uh, a discussion about that is why, uh, why c n n was"	and	"and all this week they have been having this, uh, a discussion about that is why, uh, why c n n was"	this	S	NP-TMP		week				5	0.015772871	11.89007303	1	317	0.000264304	sw2060_s31_501	the	week
5863:16	"all, all the major companies get into a, a boating race,"	all	"all, all the major companies get into a, a boating race,"		S	NP-SBJ		companies				1	0.011764706	13.80153636	1	85	7.09e-05	sw2061_s211_505	no	companies
5927:7	"like all these people are just standing, sitting around, just going, you know, like what shall we do --n4067e2."	like	"like all these people are just standing, sitting around, just going, you know, like what shall we do --n4067e2."	these	S	NP-SBJ		people				36	0.015880018	9.047921636	1	2267	0.001890146	sw2061_s251_502	the	people
6058:78	"but what they do --n40908d is, what they did --n4090a8, i don't know, is buy all the parts that i b m would throw --n4090f7 away. and build an i b m p c with all the parts that i b m would throw --n40914e away."	buy	buy all the parts that i b m would throw --n4090f7 away	the	VP	NP	NP-OBJ	parts				7	0.102941176	14.12776459	1	68	5.67e-05	sw2061_s334_529	the	parts
6058:133	"but what they do --n40908d is, what they did --n4090a8, i don't know, is buy all the parts that i b m would throw --n4090f7 away. and build an i b m p c with all the parts that i b m would throw --n40914e away."	with	with all the parts that i b m would throw --n40914e away	the	PP	NP	NP-OTHER	parts				7	0.102941176	14.12776459	1	68	5.67e-05	sw2061_s334_542	the	parts
6083:23	"they buy all, all the things that i b m throws --n4098af away"	all	"buy all, all the things that i b m throws --n4098af away"		VP	NP	NP-OTHER	things				56	0.03196347	9.419890413	1	1752	0.001460757	sw2061_s349_507	no	things
6104:47	"and then when you tried --n40a0ba to erase and correct, you know, all the errors in your voice --n40a0f9, it takes up all your memory."	know	"erase and correct, you know, all the errors in your voice --n40a0f9"	the	VP	NP	NP-OTHER	errors				1	0.25	18.60889128	1	4	3.34e-06	sw2061_s364_515	the	errors
6104:76	"and then when you tried --n40a0ba to erase and correct, you know, all the errors in your voice --n40a0f9, it takes up all your memory."	up	takes up all your memory	your	VP	NP	NP-OTHER	memory				1	0.058823529	16.19385378	1	17	1.42e-05	sw2061_s364_523	the	memory
6310:88	"they work up this whole big, you know, proposal, profile --n403a74 for you, that, ev-, all the things that you need --n403abf to work on --n403ad2 and you need --n403ae5 to do --n403af4."	ev-	"work up this whole big, you know, proposal, profile --n403a74 for you, that, ev-, all the things that you need --n403abf to work on --n403ad2 and you need --n403ae5 to do --n403af4"		VP	NP-N403A74	NP-OTHER	things				56	0.03196347	9.419890413	1	1752	0.001460757	sw2062_s83_526	no	things
6516:38	"and we, sure, our country, all countries sure need help"	country	"and we, sure, our country, all countries sure need help"	countries	S	NP-SBJ		countries				5	0.054945055	13.70200069	1	91	7.59e-05	sw2065_s10_512	no	countries
6558:50	"i, guess i was of age when the peace corps came in, and all that --n401774."	and	"came in, and all that --n401774"	that	VP	NP-ETC		that				106	0.004737218	5.74425372	1	22376	0.018656337	sw2065_s35_516	the	that
6591:122	"but it --n402021 might be interesting to see what --n402044 would happen if you took kids at a, and then took then to another country instead of having being exposed --n4020a3 to all the drugs and violence and sex and everything here, and take them to some other country that --n4020fa had different moral values, like saudi arabia where they couldn't drink --n402135."	to	to all the drugs and violence and sex and everything here	the	PP	NP	NP-OTHER	everything		drugs		3	0.005385996	11.07491271	1	557	0.000464407	sw2065_s55_544	the	drugs
6689:73	"i think it might build jobs for people, you know, that --n40465c were administrating and running and training and coordinating and all that,"	and	administrating and running and training and coordinating and all that	that	VP	NP-ETC		that				106	0.004737218	5.74425372	1	22376	0.018656337	sw2065_s117_523	the	that
6724:13	"they could send all the people over to, uh, you know, one particular part of town or one particular project, that somebody had paid somebody to, you know, get supported --n405390 --n405397,"	send	"send all the people over to, uh, you know, one particular part of town or one particular project, that somebody had paid somebody to, you know, get supported --n405390 --n405397"	the	VP	NP	NP-OBJ	people				36	0.015880018	9.047921636	1	2267	0.001890146	sw2065_s138_504	the	people
6783:57	"they wanted --n4070c6 to start like a club for the teenagers, instead of, they said, all these gangs kids could join --n407125 to belong."	said	"instead of, they said, all these gangs"	these	PP	NP	NP-OTHER	gangs				1	0.125	17.38649886	1	8	6.67e-06	sw2065_s177_518	the	gangs
6819:87	"if you want --n407e61 to go to school outside the country, and many salvadorians did, they'd go to school in cornell, iowa, of all places,"	of	of all places	places	PP	NP	NP-OTHER	places				15	0.071090047	12.47960826	1	211	0.000175925	sw2065_s198_528	no	places
6829:14	"and they had all kinds of, uh, things they could go into --n40834d, agricultural, and you know, really good stuff,"	had	"had all kinds of, uh, things they could go into --n40834d, agricultural, and you know, really good stuff"	kinds	VP	NP	NP-OBJ	kinds	hyper	things		59	0.453846154	13.18262653	1	130	0.00010839	sw2065_s204_503	no	things
6852:43	"and they have, --n408dac to be taught --n408dbf the language and customs and all those kinds of things,"	and	the language and customs and all those kinds of things	those	NP	NP	NP-OTHER	kinds	hyper	things		59	0.453846154	13.18262653	1	130	0.00010839	sw2065_s220_509	the	things
7143:140	"and, uh, i've been involved in making, uh, hat stands and, uh, rag dolls and, uh, different type hats with, uh, flowers and roses, you know, and, uh, that kind of thing, straw hats and, all that kind of stuff."	and	"hat stands and, uh, rag dolls and, uh, different type hats with, uh, flowers and roses, you know, and, uh, that kind of thing, straw hats and, all that kind of stuff"	that	NP	NP	NP-OTHER	kind	hyper	stuff		36	0.016720855	9.122391419	1	2153	0.001795097	sw2072_s5_511	the	stuff
7337:25	"well, uh, uh, smoking and all that stuff."	and	smoking and all that stuff	that	NP	NP	NP-OTHER	stuff				76	0.090692124	10.48476997	1	838	0.000698695	sw2072_s135_504	the	stuff
7451:57	"since there's so many issues, this one person can believe a lot of different ways on, all of them"	on	"on, all of them"	of	PP-LOC	NP	NP-OTHER	them				22	0.008261359	8.815558926	1	2663	0.002220318	sw2073_s13_515	yes	them
7793:25	"and we had made a list of all these, uh, baseball teams and the cities that they were from --n400d16, mumblex"	of	"of all these, uh, baseball teams and the cities that they were from --n400d16, mumblex"	these	PP	NP	NP-OTHER	teams				2	0.035087719	14.38649886	1	57	4.75e-05	sw2078_s31_507	the	teams
7857:13	have you seen all those pictures that they're going --n401f5d to put --n401f6c out there.	seen	seen all those pictures that they're going --n401f5d to put --n401f6c out there	those	VP	NP	NP-OBJ	pictures				3	0.136363636	15.80153636	1	22	1.83e-05	sw2078_s74_503	the	pictures
8135:37	"and, uh, and she was telling me all her problems, you know,"	me	"telling me all her problems, you know"	her	VP	NP	NP-IOBJ	problems				4	0.017316017	12.34836373	1	231	0.0001926	sw2078_s240_510	the	problems
8158:13	"because we go all the time,"	go	go all the time	the	VP	NP-TMP		time				146	0.077991453	9.324259938	1	1872	0.001560809	sw2078_s254_504	the	time
8176:56	"and he, he said he didn't think it should have gotten all those awards,"	gotten	gotten all those awards	those	VP	NP	NP-OBJ	awards				5	0.277777778	16.10639094	1	18	1.5e-05	sw2078_s266_519	the	awards
8211:20	they want --n408082 to see all the horror movies.	see	see all the horror movies	the	VP	NP	NP-OBJ	movies				11	0.070063694	12.90845156	1	157	0.000130901	sw2078_s287_507	the	movies
8279:21	"oh, my mom and dad read all the time."	read	read all the time	the	VP	NP-TMP		time				146	0.077991453	9.324259938	1	1872	0.001560809	sw2078_s327_504	the	time
8554:6	so all the money comes from home.	so	so all the money comes from home.	the	S	NP-SBJ		money				27	0.04313099	10.9061414	1	626	0.000521937	sw2092_s31_501	the	money
8566:25	"i, i get all my money out of the teller."	get	get all my money out of the teller	my	VP	NP	NP-OBJ	money				27	0.04313099	10.9061414	1	626	0.000521937	sw2092_s38_508	the	money
8669:56	"you know, anywhere from, um, local area networks, metropolitan area networks, you know, all that,"	know	"local area networks, metropolitan area networks, you know, all that"	that	NP	NP	NP-OTHER	that				106	0.004737218	5.74425372	1	22376	0.018656337	sw2092_s99_508	the	that
8766:12	"and you spend all this money on all these people,"	spend	spend all this money on all these people	this	VP	NP	NP-OBJ	money				27	0.04313099	10.9061414	1	626	0.000521937	sw2092_s161_503	the	money
8766:22	"and you spend all this money on all these people,"	on	on all these people	these	PP	NP	NP-OTHER	people				36	0.015880018	9.047921636	1	2267	0.001890146	sw2092_s161_505	the	people
8957:61	"first thing that --n402a2c comes to mind is some kind of chain stitch because she starts and goes all the way across, you know, back and forth until she winds up with this big piece of, of afghan."	goes	"goes all the way across, you know, back and forth until she winds up with this big piece of, of afghan"	the	VP	NP	NP-OBJ	way				40	0.036199095	10.08532932	1	1105	0.000921311	sw2093_s67_522	the	way
8981:16	we get disconnected --n403242 all the time.		disconnected --n403242 all the time	the	VP	NP-TMP		time				146	0.077991453	9.324259938	1	1872	0.001560809	sw2093_s82_505	the	time
9009:154	"but i, i've got, s-, i've put them, i chop them up and put them in jars and usually give them away because i, there is no way that i can eat all of those --n403ad2"	eat	eat all of those --n403ad2	of	VP	NP	NP-OBJ	those				7	0.006660324	10.15768017	1	1051	0.000876288	sw2093_s101_554	yes	those
9099:32	they say in the paper nitrous oxides and ozone and all that.	and	nitrous oxides and ozone and all that	that	NP	NP	NP-OTHER	that				106	0.004737218	5.74425372	1	22376	0.018656337	sw2094_s5_506	the	that
9177:68	"uh, maybe just take good care of our cars, and make sure we keep our pollution devices clean and all that sort of thing."	and	"take good care of our cars, and make sure we keep our pollution devices clean and all that sort of thing"	that	VP	NP-ETC	NP-OTHER	sort		that		7	0.013035382	11.12776459	1	537	0.000447732	sw2094_s51_520	the	that
9204:4	"all those re-, restrictions are really too hard,"			those		NP-SBJ		re-		restrictions		1	0.022727273	14.76758903	1	44	3.67e-05	sw2094_s71_501	the	restrictions
9437:56	"and, we, you, you just get used to air conditioning all the time,"	conditioning	air conditioning all the time	the	NP	NP		time				146	0.077991453	9.324259938	1	1872	0.001560809	sw2095_s73_516	the	time
9489:73	"but, uh, i'd rather, you know, like southern california, you know, have it kind of sunny and temperate all the time."	temperate	it kind of sunny and temperate all the time	the	S	NP-TMP		time				146	0.077991453	9.324259938	1	1872	0.001560809	sw2095_s101_520	the	time
9612:28	"so he, he does all kinds of strange things like that."	does	does all kinds of strange things like that	kinds	VP	NP	NP-OBJ	kinds	hyper	things		59	0.453846154	13.18262653	1	130	0.00010839	sw2102_s38_508	no	things
9694:12	but they repeat all the old ones.	repeat	repeat all the old ones	the	VP	NP	NP-OBJ	ones				3	0.011070111	12.11703818	1	271	0.00022595	sw2102_s92_503	the	ones
9905:133	"i think they're doing it, trying --n407344 to do it, or i hope they're trying --n40737f to do it all over the country, because they need --n4073b6 to collect all kinds of different different dialects."	collect	collect all kinds of different different dialects	kinds	VP	NP	NP-OBJ	kinds	hyper	dialects		59	0.453846154	13.18262653	1	130	0.00010839	sw2102_s232_547	no	dialects
10081:49	"but last year i just figured they was under a lot of pressure because of all the publicity and everything,"	of	because of all the publicity and everything	the	PP-PRP	NP	NP-OTHER	everything		publicity		3	0.005385996	11.07491271	1	557	0.000464407	sw2105_s62_515	the	publicity
10091:7	well all their players are signed now.	well	well all their players are signed now.	their	S	NP-SBJ		players				4	0.114285714	15.10639094	1	35	2.92e-05	sw2105_s69_502	the	players
10378:130	"and, and then when we go to sleep --n4010f0 at night, you know, it's like my husband and i have --n40112f to try --n40113e to get any space on the bed because we have all four of them up there with us."	have	have all four of them up there with us	four	VP	NP	NP-OBJ	four	yes	them		3	0.006912442	11.43563057	1	434	0.000361854	sw2107_s46_544	no	them
10411:20	he's probably been through all kinds of nightmares.	through	through all kinds of nightmares	kinds	PP-PRD	NP	NP-OTHER	kinds	hyper	nightmares		59	0.453846154	13.18262653	1	130	0.00010839	sw2107_s68_506	no	nightmares
10420:5	all four of ours are house cats.			four		NP-SBJ	NP-OTHER	four	yes	ours		3	0.006912442	11.43563057	1	434	0.000361854	sw2107_s74_501	no	ours
10467:15	and then we did all this for him.	did	did all this for him	this	VP	NP	NP-OBJ	this				25	0.009412651	8.819357636	1	2656	0.002214481	sw2107_s105_504	the	this
10550:69	and his mother had been killed --n4047de --n4047e5 coming back across the road --n404800 to make sure she'd gotten all her kittens.	gotten	gotten all her kittens	her	VP	NP	NP-OBJ	kittens				1	0.2	18.19385378	1	5	4.17e-06	sw2107_s157_524	the	kittens
10751:15	but cats are good all the time.	good	are good all the time	the	VP	NP-TMP		time				146	0.077991453	9.324259938	1	1872	0.001560809	sw2107_s286_504	the	time
10843:260	"and, uh, uh, of the, of the few good things that --n400b76 were in it, it did show, uh, a lot about the f b i. about the training, and, and how they go through training --n400c01 and how they try --n400c18 to, to develop, uh, uh, a mental picture of who they're looking for --n400c67 before they go out and do it --n400c8a and all the different ways they go about --n400cb5 doing that --n400cc4."	and	"the training, and, and how they go through training --n400c01 and how they try --n400c18 to, to develop, uh, uh, a mental picture of who they're looking for --n400c67 before they go out and do it --n400c8a and all the different ways they go about --n400cb5 doing that --n400cc4"	the	UCP	NP	NP-OTHER	ways				3	0.03030303	13.57914394	1	99	8.25e-05	sw2109_s11_578	the	ways
10846:19	i wonder how truthful all of that was --n4011d3 or whether there was fiction.	truthful	how truthful all of that was --n4011d3	of	SBAR	NP-SBJ	NP-OTHER	that				106	0.004737218	5.74425372	1	22376	0.018656337	sw2109_s13_507	yes	that
10925:112	"it --n4027a3 must have been great just being with him on, on a daily basis and seeing how he prepares for his, for his lines --n40281e and all that stuff."	and	"being with him on, on a daily basis and seeing how he prepares for his, for his lines --n40281e and all that stuff"	that	VP	NP-ETC		stuff				76	0.090692124	10.48476997	1	838	0.000698695	sw2109_s63_538	the	stuff
10952:143	"the, the, i guess the, the first, the first, uh, scene in that movie that --n40305d really got my attention, uh, concerning the, the disease and all that was when he, uh, dropped the, the, uh, the toothpicks --n4030e8,"	and	the disease and all that	that	NP	NP	NP-OTHER	that				106	0.004737218	5.74425372	1	22376	0.018656337	sw2109_s80_545	the	that
11182:23	"at work we started, uh, all the recycling stuff."	uh	"started, uh, all the recycling stuff"	the	VP	NP	NP-OTHER	stuff				76	0.090692124	10.48476997	1	838	0.000698695	sw2111_s56_506	the	stuff
11192:27	where i work --n401f63 now we recycle all the computer paper.	recycle	recycle all the computer paper	the	VP	NP	NP-OBJ	paper				3	0.01369863	12.42566946	1	219	0.000182595	sw2111_s63_510	the	paper
11241:64	"we're trying --n402dff to cut cost and everything like that, and, and recycle and all that stuff"	and	recycle and all that stuff	that	VP	NP-ETC		stuff				76	0.090692124	10.48476997	1	838	0.000698695	sw2111_s93_521	the	stuff
11427:24	"of course, i don't know all that about recycling"	know	know all that about recycling	that	VP	NP	NP-OBJ	that				106	0.004737218	5.74425372	1	22376	0.018656337	sw2111_s217_506	the	that
11448:47	"and somebody was writing in --n40718d complaining that the people had, uh, dumped all the trash in the same bin."	dumped	dumped all the trash in the same bin	the	VP	NP	NP-OBJ	trash				2	0.031746032	14.23965747	1	63	5.25e-05	sw2111_s232_514	the	trash
11607:33	"and, uh, i think from there on, all the way through the movie."	on	"from there on, all the way through the movie"	the	FRAG	NP-ADV		way				40	0.036199095	10.08532932	1	1105	0.000921311	sw2113_s82_510	the	way
11720:24	i mean like kevin costner did all of his own scenes	did	did all of his own scenes	of	VP	NP	NP-OBJ	scenes				1	0.076923077	16.60889128	1	13	1.08e-05	sw2113_s152_508	yes	scenes
11888:34	"and, it seems like, uh, we're catching all that residue."	catching	catching all that residue	that	VP	NP	NP-OBJ	residue				1	0.5	20.19385378	1	2	1.67e-06	sw2121_s38_509	the	residue
11911:124	"because in order --n401cc1 to, uh, keep with the e p a standards which, which --n401d00 tend --n401d0b to be visible, uh, what --n401d2e's coming out of your smokestack, they do all their emissions at night."	do	do all their emissions at night	their	VP	NP	NP-OBJ	emissions				1	0.090909091	16.87192569	1	11	9.17e-06	sw2121_s54_539	the	emissions
12066:13	but how about all the trucks and buses that --n405284 are out there.	about	about all the trucks and buses that --n405284 are out there	the	PP	NP	NP-OTHER	buses				1	0.1	17.02392878	1	10	8.34e-06	sw2121_s149_503	the	buses
12288:10	"it had all the vegetables in it,"	had	had all the vegetables in it	the	VP	NP	NP-OBJ	vegetables				1	0.071428571	16.49341406	1	14	1.17e-05	sw2124_s56_503	the	vegetables
12297:27	"do you find yourself, um, with all the, um, cholesterol and, and high fiber changing the way that you fi-, that you entertain --n401e64."	with	"with all the, um, cholesterol and, and high fiber"	the	PP	NP	NP-OTHER	cholesterol				1	0.111111111	17.19385378	1	9	7.5e-06	sw2124_s60_507	the	cholesterol
12484:61	"gosh this, uh, this whole thing now with all the, uh, all the political cartoons on the democrats and how they're, uh, uh, they're in, in a sad way --n401cb1 for ninety-two now in terms of the presidential election, anyway --n401ce4."	uh	"with all the, uh, all the political cartoons on the democrats"	the	PP	NP	NP-OTHER	cartoons				1	0.083333333	16.73442216	1	12	1e-05	sw2130_s44_518	the	cartoons
